num_threads,N,M,result,time
8,4096,2048,0,0.287408
8,16384,8192,0,4.61034
8,16384,8192,0,4.60056
8,16384,8192,0,4.62434
8,16384,8192,0,4.60698
8,16384,8192,0,4.5995
8,16384,8192,0,4.6175
8,16384,8192,0,4.59718
8,16384,8192,0,4.62048
8,16384,8192,0,4.64502
8,16384,8192,0,4.65396
