num_threads,N,M,result,time
8,4096,2048,0,0.108541
8,4096,2048,0,0.100689
8,4096,2048,0,0.116181
8,4096,2048,0,0.10199
8,4096,2048,0,0.101927
8,16384,8192,0,1.66716
8,16384,8192,0,1.70782
8,16384,8192,0,1.68239
8,16384,8192,0,1.67789
8,16384,8192,0,1.6705
8,16384,8192,0,1.6524
8,16384,8192,0,1.68013
8,16384,8192,0,1.65907
8,16384,8192,0,1.68892
8,16384,8192,0,1.65413
