num_threads,N,M,result,time
8,4096,2048,0,0.104774
8,4096,2048,0,0.108367
8,4096,2048,0,0.109002
8,4096,2048,0,0.104559
8,4096,2048,0,0.10467
8,4096,2048,0,0.104628
8,16384,8192,0,1.81921
8,16384,8192,0,1.70597
8,16384,8192,0,1.71479
8,16384,8192,0,1.72586
8,16384,8192,0,1.69907
8,16384,8192,0,1.72128
8,16384,8192,0,1.70716
8,16384,8192,0,1.71278
8,16384,8192,0,1.70236
8,16384,8192,0,1.71223
